Gene	Pt1.PD1	Pt2.PD1	Pt4.PD1	Pt5.PD1	Pt6.PD1	Pt7.PD1	Pt8.PD1	Pt9.PD1	Pt10.PD1	Pt12.PD1	Pt13.PD1	Pt14.PD1	Pt15.PD1	Pt16.PD1	Pt19.PD1	Pt20.PD1	Pt22.PD1	Pt23.PD1	Pt25.PD1	Pt31.PD1	Pt32.PD1	Pt35.PD1	Pt37.PD1	Pt38.PD1	Pt27A.PD1	Pt27B.PD1	Pt28.PD1	Pt29.PD1
A1BG	535.5	5876.5	363.5	465	126	560.5	151.5	362.5	297	265	421	318.5	737.5	220	358.5	306.5	228.5	347.5	762.5	182	192	226	212	81	225	233	98	246
A1BG-AS1	53	21.5	25.5	38.5	20.5	52.5	7	34.5	29	39	44	26.5	18	12	48.5	12	29.5	23	8	2	12	26	6	6	27.5	28	2	33.5
A1CF	0	2477	0	0	4.5	0	1	0.5	0	0	1	2	0.5	2	0	0.5	0	2.5	0.5	1	0	0	0	0	0	0.5	31.5	2.5
A2M	34514.5	36234.5	10984	7041	22331.5	4075.5	6373	34325	95874	60284.5	99805.5	9610.5	17310.5	12401	4384.5	7438	28299.5	27342	21330.5	2749	6762	4512	2170	32235	59751.5	50085.5	4003	65215
A2M-AS1	21.5	80.5	16.5	3	32	34	67	157	88.5	77	78	15	73	13	21.5	33.5	48.5	74	88	2	16	3	38	22	25	19.5	9	35.5
A2ML1	3.5	2	4.5	1.5	1	3	4	75.5	6	1	1.5	0.5	3	6	0	9.5	9.5	5	4.5	0	1	1	0	0	8.5	5	11797.5	4.5
A2MP1	5.5	0.5	1	0	1.5	2.5	1.5	15.5	3	0.5	5	4.5	2	1	0	4	9.5	5.5	1	1	0	0	0	2	1.5	2.5	4.5	1.5
A3GALT2	1.5	0.5	1.5	0	1.5	1.5	1	3.5	17	3	14	3.5	0.5	2	0	0	1	1.5	0	2	4	0	0	1	5	8	0.5	2.5
A4GALT	567.5	18.5	47	58	97	51	120.5	266	2229.5	111.5	630	324.5	59	71	227	67	551	211.5	98	159	548	38	21	174	92	43	149	90.5
A4GNT	3.5	4	1.5	0	0	0.5	0.5	5	3.5	13	24.5	10	5	0	1	0.5	6.5	2.5	0	0	0	0	0	1	0	1	0	1
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	1388	635	1225	1516.5	1082	655.5	494	1134.5	1355.5	747	853	2345.5	817.5	293	1354	532	1104.5	815.5	1447.5	431	474	463	520	507	1254.5	876.5	484.5	776.5
AACS	399	173.5	238	1086.5	914	502	268.5	591.5	1165	1785	408	832	278	260	565	192.5	693.5	648.5	162	274	185	266	66	283	727.5	535.5	888.5	470
AACSP1	0	0	0	27.5	0.5	0	1.5	559	0	0.5	0.5	47	240	4	0	0	0	0	0.5	1	16	0	0	0	119.5	162.5	3.5	0
AADAC	2.5	1434	6	0	0	0	0	30	0.5	1	1	308	1	1	0	0	10	0	1.5	0	0	0	0	0	0	0	186.5	41.5
AADACL2	2.5	0	0	0	0	0	0	0	0	0	0.5	0	0	1	0	0	0	0	0	0	2	0	0	0	1.5	1.5	849.5	0
AADACL2-AS1	0	0.5	0	0	0	0	1	0	0	0	0	12	0	0	0	1	0	0	0	0	1	0	0	0	0	2	24	0.5
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
AADACL4	1.5	0	0	1	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	19	0	0	0	1	0.5	2	1.5	0.5	0	532.5	0	9	0	3	0	0	0	0	6	1	0	0	7.5	19	1.5	5.5
AADAT	251	345.5	164.5	283	168	70.5	47.5	177.5	738	413	550	29	69.5	14	31	22	154	333.5	63.5	29	204	48	50	21	13.5	11	21.5	124.5
AAED1	314	170.5	158.5	348	231	541	120.5	396	487	306.5	522.5	611	434	80	63	207.5	359.5	503.5	128	86	79	130	171	153	502.5	563	116.5	481
AAGAB	1795.5	654	1908.5	2673	3514	982	602.5	2564	1257	1400.5	1537	1897.5	1240	574	487.5	780.5	1550.5	851.5	763	455	512	1312	652	765	1603	1163.5	1026	1771
AAK1	1424	384.5	824.5	921.5	1437.5	1191.5	706	1163.5	1544.5	1758.5	1595	2327.5	490.5	1050	414.5	733.5	1674.5	1776.5	441	1403	1376	891	779	909	1360.5	975.5	637	833
AAMDC	325.5	251	543	583	362.5	430	92.5	482.5	208.5	162	459	656	323	95	280.5	246.5	499	510.5	604.5	96	159	112	302	97	248	220	123.5	253.5
AAMP	6098	1458	4102.5	3889.5	4393.5	2567.5	1600.5	4261	5921.5	2516.5	3368	4445	2459.5	1437	4007	2036.5	3669	2359	2619	1578	1326	2252	1412	1337	2766	2284.5	2117.5	1827.5
AANAT	4.5	0.5	2	1	12	3.5	2.5	1.5	7	9	4	4.5	4	6	1	3	3.5	7	1	1	2	1	2	14	4	3.5	5	5.5
AAR2	1873.5	625	2506.5	2625	1251.5	1552	653	1572.5	1771.5	1079.5	1070	2401.5	1457	778	1434.5	1088.5	1692	846.5	1725	624	594	1068	582	529	1309.5	1309.5	654	1341
AARD	31.5	0	4	0.5	1	0.5	22.5	140	472.5	73	593.5	1	99	6	0.5	7.5	29.5	62	2.5	32	106	2	20	30	0	0.5	3.5	28.5
